"id_producto","nombre","marca","categoria","img","kcal","grasas","grasas_saturadas","proteinas","hidratos_carbono","azucares","sal","visitas"
"1470","Leche para lactantes Confort Digest NESTLÉ Nidina, lata 800 g","Nidina","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/1470.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"2412","Yogur líquido fresa y plátano 100 g","Baby Cuac","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/2412.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3374","Preparado de pera plátano naranja y galleta desde 6 meses Fruta & Go Nutriben bolsita de 90 gr","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/3374.webp","81.00","0.50","0.00","0.90","17.00","13.00","0.03","0"
"3395","Pañales Chelino Nature T2 (3-6 kg) bio 28 ud.","Chelino","panales","https://dx7csy7aghu7b.cloudfront.net/prods/3395.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3"
"3478","Compresa tocológica de celulosa grande Maternity 25 ud.","Maternity","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/3478.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3734","Papilla desde 6 meses multicereales Hero Baby Solo sin lactosa 300 gr","Hero Solo","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/3734.webp","378.00","2.00","0.00","10.00","75.00","1.00","0.00","0"
"4762","Pañales Chelino T2 (3-6 kg) 28 ud.","Chelino","panales","https://dx7csy7aghu7b.cloudfront.net/prods/4762.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"4916","Papilla infantil desde 4 meses de crema de arroz sin azúcar añadido Hero Baby sin gluten sin lactosa y sin aceite de palma 220 g.","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/4916.webp","384.00","1.00","0.00","8.00","85.00","0.50","0.03","0"
"6172","Infusión Infantil Blevit Digest 150 gr","Blevit","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/6172.webp","380.00","0.00","0.00","95.00","95.00","95.00","0.00","0"
"7775","Papilla de multicereales y galleta 0% azúcar NESTLÉ, caja 270 g","Nestlé","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/7775.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"7853","Tarrrito de ternera con judías verdes y zanahorias desde 6 meses Nutribén 235 g.","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/7853.webp","82.00","2.90","0.00","3.80","9.70","1.30","0.10","0"
"8292","Tarrito de manzana naranja y plátano con galleta desde 6 meses Nutribén 250 g.","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/8292.webp","60.00","0.30","0.00","0.60","13.20","9.60","0.02","2"
"10259","Tarrito de guiso de pollo y ternera con judías verdes desde 6 meses Nutribén 235 g.","Nutriben","leche-para-bebes","https://dx7csy7aghu7b.cloudfront.net/prods/10259.webp","14.00","29.00","0.00","3.90","10.70","0.80","0.00","0"
"10464","Pañal Bebé Talla 6 Activity +13 Kg","Dodot","panales","https://dx7csy7aghu7b.cloudfront.net/prods/10464.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"11611","Bolsita de manzana-plátano-fresa HIPP, doypack 100 g","Hipp","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/11611.webp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"11614","Potito de arroz con pollo HERO, tarro 235 g","Hero","alimentacion-infantil","https://dx7csy7aghu7b.cloudfront.net/prods/11614.webp","73.00","2.50","0.00","2.70","9.50","0.90","0.04","0"
